objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad
1127,8,Kennedy,LEGALIZADO,sagrado corazón_,80250,2.75E-06,0.009434312,48,33703.88095,1113,33022.90325,0,0,0.683437098,0.316562902,0,0,0,1264.164137,624.5056504,0.494006777,241.5764231,0.191095773,0,0,0,0,219.5776044,0.173693904,0,0,178.5044594,0.141203546,Sagrado Corazón_,-74.16430005,4.614450646,48,0,0,0.539203,0.010799,0.056347,0.201085,0.0889975,2.5,0.5,0.5,0,0,1113,33022.90325,0,2016central,,0
1213,8,Kennedy,SIN LEGALIZAR,s.c. tintala,80247,5.72E-05,0.036434982,79,701315.0485,18783,26782.54237,0.015227586,9.72E-05,0.53234266,0.452332572,0,0,0,8390.589989,3467.582741,0.413270431,1453.961694,0.173284798,0,0,1648.430874,0.196461855,0,0,0,0,640.2751171,0.076308712,S.C. Tintala,-74.15345942,4.65166263,79,0.051636709,0.008495502,0.084936143,0.069017744,0.126934749,0.327745739,0.090751921,0.743842365,0.197044335,0.103448276,0,0.0591133,18783,26782.54237,0,2016central,,0
1368,19,Ciudad Bolívar,LEGALIZADO,jerusalén las brisas,190084,2.39E-05,0.023485718,70,292662.9702,12768,43626.97471,0.131369675,0.868630325,0,0,0,0,0,11396.87422,3117.474903,0.273537713,6474.198761,0.568067931,0,0,0,0,1673.988088,0.146881334,37.63305622,0.003302051,0,0,,,,,,,,,,,,,,,,,,,,,,0
639,1,Usaquén,SIN LEGALIZAR,belmira,10024,9.80E-06,0.013901242,13,120190.0757,1074,8935.845944,0.073993055,0,0,0,0,0.926006945,0,2047.34852,634.2095056,0.30977115,952.4229457,0.465198249,0,0,460.7160689,0.225030601,0,0,0,0,0,0,Belmira,-74.02969127,4.7191591,13,0.067489593,0.028464846,0.104884707,0.039755894,0.08280778,0.193436886,0.28455461,0.25203252,0.048780488,0.032520325,0,0.097560976,1074,8935.845944,0,2016north,,0
640,1,Usaquén,LEGALIZADO,las_acacias,10128,1.21E-05,0.016242407,13,148795.5229,5325,35787.3671,0,0,0,0,1,0,0,1959.955631,690.1460256,0.35212329,793.9161005,0.405068404,0,0,475.8935052,0.242808305,0,0,0,0,0,0,Las_Acacias,-74.02907385,4.721176312,13,0.038289241,0.027931278,0.095216709,0.049669861,0.205573823,0.148063722,0.220910481,0.367088608,0.025316456,0.050632911,0,0.063291139,5325,35787.3671,0,2016north,,0
660,18,Rafael Uribe,LEGALIZADO,carmen del sol i sector,180020,4.26E-07,0.003019218,53,5225.62454,246,47075.71279,0,0,1,0,0,0,0,141.7203601,78.82989515,0.556235499,0,0,0,0,0,0,62.89046492,0.443764501,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
681,13,Teusaquillo,SIN LEGALIZAR,chapinero occidental,130014,2.57E-05,0.023164388,100,315134.1742,4501,14282.80513,0.020339168,0,0,0.659983957,0.319676874,0,0,9585.88759,3106.316229,0.324050976,3465.790937,0.361551385,0,0,1691.500012,0.176457318,0,0,313.0661011,0.032659062,1009.214311,0.105281259,Chapinero Occidental,-74.06740409,4.645842704,100,0.022485847,0.011084948,0.130855108,0.076927134,0.32272256,0.215872108,0.058742772,1.854477612,0.029850746,0.115671642,0,0.179104478,4501,14282.80513,0,2016central,,0
705,5,Usme,LEGALIZADO,bellavista ii sector,50015,6.15E-07,0.003169475,58,7550.386783,366,48474.33787,0,1,0,0,0,0,0,347.390613,211.962515,0.610156139,135.428098,0.389843861,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
826,1,Usaquén,LEGALIZADO,bosque de los pinos,10026,2.71E-07,0.002450464,9,3329.804616,324,97303.00644,0,0,1,0,0,0,0,105.4367442,105.4367442,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
962,9,Fontibón,SIN LEGALIZAR,bellavista los pantanos,90009,1.51E-05,0.021424763,115,185504.8295,1134,6113.048394,0.013099133,0,0,0.668141593,0.318759274,0,0,1027.344956,267.7005054,0.260575091,420.5408851,0.409347301,0,0,0,0,162.3924747,0.158070056,0,0,116.732934,0.11362584,Bellavista Los Pantanos,-74.13360391,4.671305274,115,0.26953575,0,0.2362595,0.03481525,0.03360975,0.134775,0.03726725,0,0,0,0,0,1134,6113.048394,0,2016central,,0
